epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,193.881,1.00484,4.1063,0.94054,0.5498,0.17998,0.16541,0.13402,0.72291,2.96761,0.83193,0.00010333,0.00010333,0.00010333
2,378.655,0.84236,2.38293,0.89165,0.56717,0.47882,0.50285,0.41823,0.69325,1.70673,0.85369,0.000203552,0.000203552,0.000203552
3,556.319,0.77319,1.54815,0.88503,0.80247,0.63522,0.69699,0.58832,0.64947,1.1474,0.84104,0.000299642,0.000299642,0.000299642
4,734.388,0.73242,1.22246,0.87287,0.85898,0.71851,0.77999,0.66314,0.62366,0.83482,0.84012,0.000294408,0.000294408,0.000294408
5,913.094,0.73966,1.05108,0.8796,0.91036,0.75349,0.80184,0.68563,0.61508,0.79085,0.838,0.00028821,0.00028821,0.00028821
6,1091.33,0.69106,0.97059,0.86744,0.88516,0.79343,0.8473,0.72673,0.60375,0.6885,0.83593,0.000282013,0.000282013,0.000282013
7,1274.04,0.69047,0.89536,0.86668,0.8259,0.82967,0.85675,0.73436,0.59834,0.65961,0.83842,0.000275816,0.000275816,0.000275816
8,1452.02,0.66465,0.83245,0.8589,0.85869,0.85999,0.87119,0.74574,0.59979,0.62034,0.83975,0.000269618,0.000269618,0.000269618
9,1629.18,0.6618,0.7907,0.861,0.8257,0.85032,0.86858,0.7482,0.57857,0.59715,0.8344,0.000263421,0.000263421,0.000263421
10,1807.76,0.6511,0.7692,0.86251,0.81278,0.87974,0.86738,0.74735,0.58714,0.58316,0.8365,0.000257223,0.000257223,0.000257223
11,1986.23,0.64637,0.74563,0.85951,0.84614,0.86427,0.87309,0.75574,0.58208,0.57239,0.83659,0.000251026,0.000251026,0.000251026
12,2163.16,0.64676,0.72589,0.86289,0.8406,0.85914,0.874,0.75231,0.57854,0.56663,0.83767,0.000244829,0.000244829,0.000244829
13,2341.66,0.63496,0.69363,0.85943,0.83993,0.88467,0.87838,0.76358,0.58214,0.54075,0.83468,0.000238631,0.000238631,0.000238631
14,2519.48,0.63627,0.66769,0.86025,0.86407,0.86949,0.87751,0.76306,0.56869,0.52193,0.83381,0.000232434,0.000232434,0.000232434
15,2697.3,0.6255,0.6586,0.85648,0.87526,0.85735,0.8822,0.75886,0.58305,0.51641,0.83772,0.000226236,0.000226236,0.000226236
16,2875.01,0.62227,0.63231,0.8561,0.84823,0.88214,0.87976,0.76073,0.57261,0.51777,0.83506,0.000220039,0.000220039,0.000220039
17,3052.8,0.62108,0.62477,0.85853,0.8804,0.87193,0.8804,0.76684,0.56237,0.48156,0.83321,0.000213842,0.000213842,0.000213842
18,3230.56,0.61696,0.62135,0.85448,0.83886,0.87278,0.88075,0.76301,0.56776,0.47541,0.83446,0.000207644,0.000207644,0.000207644
19,3408.42,0.61371,0.5956,0.85183,0.87421,0.86693,0.87916,0.76472,0.56524,0.47189,0.83364,0.000201447,0.000201447,0.000201447
20,3585.46,0.6192,0.58789,0.85495,0.87506,0.87796,0.88276,0.76764,0.56386,0.46936,0.83394,0.000195249,0.000195249,0.000195249
21,3804.71,0.61547,0.59093,0.85469,0.91546,0.87219,0.8795,0.76975,0.56052,0.46335,0.83323,0.000189052,0.000189052,0.000189052
22,4038.35,0.60687,0.57345,0.85078,0.86767,0.89548,0.88156,0.77035,0.55611,0.46054,0.83128,0.000182855,0.000182855,0.000182855
